Province,Fiscal Year,District,Previous Year Violence (B),Current Year Violence (A),Ratio (%)
Amnat Charoen,2569,พนา,0,0,0
Amnat Charoen,2569,เสนางคนิคม,0,0,0
Amnat Charoen,2569,หัวตะพาน,0,0,0
Amnat Charoen,2569,ลืออำนาจ,0,0,0
Amnat Charoen,2569,รวม,0,0,0
Sisaket,2565,เมืองศรีสะเกษ,0,0,0
Sisaket,2565,ยางชุมน้อย,0,0,0
Sisaket,2565,กันทรารมย์,0,0,0
Sisaket,2565,กันทรลักษ์,0,0,0
Sisaket,2565,ขุขันธ์,0,0,0
Sisaket,2565,ไพรบึง,0,0,0
Sisaket,2565,ปรางค์กู่,0,0,0
Sisaket,2565,ขุนหาญ,0,0,0
Sisaket,2565,ราศีไศล,0,0,0
Sisaket,2565,อุทุมพรพิสัย,0,0,0
Sisaket,2565,บึงบูรพ์,0,0,0
Sisaket,2565,ห้วยทับทัน,0,0,0
Sisaket,2565,โนนคูณ,0,0,0
Sisaket,2565,ศรีรัตนะ,0,0,0
Sisaket,2565,น้ำเกลี้ยง,0,0,0
Sisaket,2565,วังหิน,0,0,0
Sisaket,2565,ภูสิงห์,0,0,0
Sisaket,2565,เมืองจันทร์,0,0,0
Sisaket,2565,เบญจลักษ์,0,0,0
Sisaket,2565,พยุห์,0,0,0
Sisaket,2565,โพธิ์ศรีสุวรรณ,0,0,0
Sisaket,2565,ศิลาลาด,0,0,0
Sisaket,2565,รวม,0,0,0
Sisaket,2566,เมืองศรีสะเกษ,0,0,0
Sisaket,2566,ยางชุมน้อย,0,0,0
Sisaket,2566,กันทรารมย์,0,0,0
Sisaket,2566,กันทรลักษ์,0,0,0
Sisaket,2566,ขุขันธ์,0,0,0
Sisaket,2566,ไพรบึง,0,0,0
Sisaket,2566,ปรางค์กู่,0,0,0
Sisaket,2566,ขุนหาญ,0,0,0
Sisaket,2566,ราศีไศล,0,0,0
Sisaket,2566,อุทุมพรพิสัย,0,0,0
Sisaket,2566,บึงบูรพ์,0,0,0
Sisaket,2566,ห้วยทับทัน,0,0,0
Sisaket,2566,โนนคูณ,0,0,0
Sisaket,2566,ศรีรัตนะ,0,0,0
Sisaket,2566,น้ำเกลี้ยง,0,0,0
Sisaket,2566,วังหิน,0,0,0
Sisaket,2566,ภูสิงห์,0,0,0
Sisaket,2566,เมืองจันทร์,0,0,0
Sisaket,2566,เบญจลักษ์,0,0,0
Sisaket,2566,พยุห์,0,0,0
Sisaket,2566,โพธิ์ศรีสุวรรณ,0,0,0
Sisaket,2566,ศิลาลาด,0,0,0
Sisaket,2566,รวม,0,0,0
Sisaket,2567,เมืองศรีสะเกษ,0,0,0
Sisaket,2567,ยางชุมน้อย,0,0,0
Sisaket,2567,กันทรารมย์,0,0,0
Sisaket,2567,กันทรลักษ์,0,0,0
Sisaket,2567,ขุขันธ์,0,0,0
Sisaket,2567,ไพรบึง,0,0,0
Sisaket,2567,ปรางค์กู่,0,0,0
Sisaket,2567,ขุนหาญ,0,0,0
Sisaket,2567,ราศีไศล,0,0,0
Sisaket,2567,อุทุมพรพิสัย,0,0,0
Sisaket,2567,บึงบูรพ์,0,0,0
Sisaket,2567,ห้วยทับทัน,0,0,0
Sisaket,2567,โนนคูณ,0,0,0
Sisaket,2567,ศรีรัตนะ,0,0,0
Sisaket,2567,น้ำเกลี้ยง,0,0,0
Sisaket,2567,วังหิน,0,0,0
Sisaket,2567,ภูสิงห์,0,0,0
Sisaket,2567,เมืองจันทร์,0,0,0
Sisaket,2567,เบญจลักษ์,0,0,0
Sisaket,2567,พยุห์,0,0,0
Sisaket,2567,โพธิ์ศรีสุวรรณ,0,0,0
Sisaket,2567,ศิลาลาด,0,0,0
Sisaket,2567,รวม,0,0,0
Sisaket,2568,เมืองศรีสะเกษ,0,0,0
Sisaket,2568,ยางชุมน้อย,0,0,0
Sisaket,2568,กันทรารมย์,0,0,0
Sisaket,2568,กันทรลักษ์,0,0,0
Sisaket,2568,ขุขันธ์,0,0,0
Sisaket,2568,ไพรบึง,0,0,0
Sisaket,2568,ปรางค์กู่,0,0,0
Sisaket,2568,ขุนหาญ,0,0,0
Sisaket,2568,ราศีไศล,0,0,0
Sisaket,2568,อุทุมพรพิสัย,0,0,0
Sisaket,2568,บึงบูรพ์,0,0,0
Sisaket,2568,ห้วยทับทัน,0,0,0
Sisaket,2568,โนนคูณ,0,0,0
Sisaket,2568,ศรีรัตนะ,0,0,0
Sisaket,2568,น้ำเกลี้ยง,0,0,0
Sisaket,2568,วังหิน,0,0,0
Sisaket,2568,ภูสิงห์,0,0,0
Sisaket,2568,เมืองจันทร์,0,0,0
Sisaket,2568,เบญจลักษ์,0,0,0
Sisaket,2568,พยุห์,0,0,0
Sisaket,2568,โพธิ์ศรีสุวรรณ,0,0,0
Sisaket,2568,ศิลาลาด,0,0,0
Sisaket,2568,รวม,0,0,0
Sisaket,2569,เมืองศรีสะเกษ,0,0,0
Sisaket,2569,ยางชุมน้อย,0,0,0
Sisaket,2569,กันทรารมย์,0,0,0
Sisaket,2569,กันทรลักษ์,0,0,0
Sisaket,2569,ขุขันธ์,0,0,0
Sisaket,2569,ไพรบึง,0,0,0
Sisaket,2569,ปรางค์กู่,0,0,0
Sisaket,2569,ขุนหาญ,0,0,0
Sisaket,2569,ราศีไศล,0,0,0
Sisaket,2569,อุทุมพรพิสัย,0,0,0
Sisaket,2569,บึงบูรพ์,0,0,0
Sisaket,2569,ห้วยทับทัน,0,0,0
Sisaket,2569,โนนคูณ,0,0,0
Sisaket,2569,ศรีรัตนะ,0,0,0
Sisaket,2569,น้ำเกลี้ยง,0,0,0
Sisaket,2569,วังหิน,0,0,0
Sisaket,2569,ภูสิงห์,0,0,0
Sisaket,2569,เมืองจันทร์,0,0,0
Sisaket,2569,เบญจลักษ์,0,0,0
Sisaket,2569,พยุห์,0,0,0
Sisaket,2569,โพธิ์ศรีสุวรรณ,0,0,0
Sisaket,2569,ศิลาลาด,0,0,0
Sisaket,2569,รวม,0,0,0
Ubon Ratchathani,2565,เมืองอุบลราชธานี,230,242,-5.22
Ubon Ratchathani,2565,ศรีเมืองใหม่,0,0,0
Ubon Ratchathani,2565,โขงเจียม,0,0,0
Ubon Ratchathani,2565,เขื่องใน,0,0,0
Ubon Ratchathani,2565,เขมราฐ,0,0,0
Ubon Ratchathani,2565,เดชอุดม,0,0,0
Ubon Ratchathani,2565,นาจะหลวย,0,0,0
Ubon Ratchathani,2565,น้ำยืน,0,0,0
Ubon Ratchathani,2565,บุณฑริก,0,0,0
Ubon Ratchathani,2565,ตระการพืชผล,0,0,0
Ubon Ratchathani,2565,กุดข้าวปุ้น,0,0,0
Ubon Ratchathani,2565,ม่วงสามสิบ,0,0,0
Ubon Ratchathani,2565,วารินชำราบ,0,0,0
Ubon Ratchathani,2565,พิบูลมังสาหาร,0,0,0
Ubon Ratchathani,2565,ตาลสุม,0,0,0
Ubon Ratchathani,2565,โพธิ์ไทร,0,0,0
Ubon Ratchathani,2565,สำโรง,0,0,0
Ubon Ratchathani,2565,ดอนมดแดง,0,0,0
Ubon Ratchathani,2565,สิรินธร,0,0,0
Ubon Ratchathani,2565,ทุ่งศรีอุดม,0,0,0
Ubon Ratchathani,2565,นาเยีย,0,0,0
Ubon Ratchathani,2565,นาตาล,0,0,0
Ubon Ratchathani,2565,เหล่าเสือโก้ก,0,0,0
Ubon Ratchathani,2565,สว่างวีระวงศ์,0,0,0
Ubon Ratchathani,2565,น้ำขุ่น,0,0,0
Ubon Ratchathani,2565,รวม,230,242,-5.22
Ubon Ratchathani,2566,เมืองอุบลราชธานี,242,215,11.16
Ubon Ratchathani,2566,ศรีเมืองใหม่,0,0,0
Ubon Ratchathani,2566,โขงเจียม,0,0,0
Ubon Ratchathani,2566,เขื่องใน,0,0,0
Ubon Ratchathani,2566,เขมราฐ,0,0,0
Ubon Ratchathani,2566,เดชอุดม,0,0,0
Ubon Ratchathani,2566,นาจะหลวย,0,0,0
Ubon Ratchathani,2566,น้ำยืน,0,0,0
Ubon Ratchathani,2566,บุณฑริก,0,0,0
Ubon Ratchathani,2566,ตระการพืชผล,0,0,0
Ubon Ratchathani,2566,กุดข้าวปุ้น,0,0,0
Ubon Ratchathani,2566,ม่วงสามสิบ,0,0,0
Ubon Ratchathani,2566,วารินชำราบ,0,0,0
Ubon Ratchathani,2566,พิบูลมังสาหาร,0,0,0
Ubon Ratchathani,2566,ตาลสุม,0,0,0
Ubon Ratchathani,2566,โพธิ์ไทร,0,0,0
Ubon Ratchathani,2566,สำโรง,0,0,0
Ubon Ratchathani,2566,ดอนมดแดง,0,0,0
Ubon Ratchathani,2566,สิรินธร,0,0,0
Ubon Ratchathani,2566,ทุ่งศรีอุดม,0,0,0
Ubon Ratchathani,2566,นาเยีย,0,0,0
Ubon Ratchathani,2566,นาตาล,0,0,0
Ubon Ratchathani,2566,เหล่าเสือโก้ก,0,0,0
Ubon Ratchathani,2566,สว่างวีระวงศ์,0,0,0
Ubon Ratchathani,2566,น้ำขุ่น,0,0,0
Ubon Ratchathani,2566,รวม,242,215,11.16
Ubon Ratchathani,2567,เมืองอุบลราชธานี,217,163,24.88
Ubon Ratchathani,2567,ศรีเมืองใหม่,0,0,0
Ubon Ratchathani,2567,โขงเจียม,0,0,0
Ubon Ratchathani,2567,เขื่องใน,0,0,0
Ubon Ratchathani,2567,เขมราฐ,0,0,0
Ubon Ratchathani,2567,เดชอุดม,0,0,0
Ubon Ratchathani,2567,นาจะหลวย,0,0,0
Ubon Ratchathani,2567,น้ำยืน,0,0,0
Ubon Ratchathani,2567,บุณฑริก,0,0,0
Ubon Ratchathani,2567,ตระการพืชผล,0,0,0
Ubon Ratchathani,2567,กุดข้าวปุ้น,0,0,0
Ubon Ratchathani,2567,ม่วงสามสิบ,0,0,0
Ubon Ratchathani,2567,วารินชำราบ,0,0,0
Ubon Ratchathani,2567,พิบูลมังสาหาร,0,0,0
Ubon Ratchathani,2567,ตาลสุม,0,0,0
Ubon Ratchathani,2567,โพธิ์ไทร,0,0,0
Ubon Ratchathani,2567,สำโรง,0,0,0
Ubon Ratchathani,2567,ดอนมดแดง,0,0,0
Ubon Ratchathani,2567,สิรินธร,0,0,0
Ubon Ratchathani,2567,ทุ่งศรีอุดม,0,0,0
Ubon Ratchathani,2567,นาเยีย,0,0,0
Ubon Ratchathani,2567,นาตาล,0,0,0
Ubon Ratchathani,2567,เหล่าเสือโก้ก,0,0,0
Ubon Ratchathani,2567,สว่างวีระวงศ์,0,0,0
Ubon Ratchathani,2567,น้ำขุ่น,0,0,0
Ubon Ratchathani,2567,รวม,217,163,24.88
Ubon Ratchathani,2568,เมืองอุบลราชธานี,167,260,-55.69
Ubon Ratchathani,2568,ศรีเมืองใหม่,0,0,0
Ubon Ratchathani,2568,โขงเจียม,0,0,0
Ubon Ratchathani,2568,เขื่องใน,0,0,0
Ubon Ratchathani,2568,เขมราฐ,0,0,0
Ubon Ratchathani,2568,เดชอุดม,0,0,0
Ubon Ratchathani,2568,นาจะหลวย,0,0,0
Ubon Ratchathani,2568,น้ำยืน,0,0,0
Ubon Ratchathani,2568,บุณฑริก,0,0,0
Ubon Ratchathani,2568,ตระการพืชผล,0,0,0
Ubon Ratchathani,2568,กุดข้าวปุ้น,0,0,0
Ubon Ratchathani,2568,ม่วงสามสิบ,0,0,0
Ubon Ratchathani,2568,วารินชำราบ,0,0,0
Ubon Ratchathani,2568,พิบูลมังสาหาร,0,0,0
Ubon Ratchathani,2568,ตาลสุม,0,0,0
Ubon Ratchathani,2568,โพธิ์ไทร,0,0,0
Ubon Ratchathani,2568,สำโรง,0,0,0
Ubon Ratchathani,2568,ดอนมดแดง,0,0,0
Ubon Ratchathani,2568,สิรินธร,0,0,0
Ubon Ratchathani,2568,ทุ่งศรีอุดม,0,0,0
Ubon Ratchathani,2568,นาเยีย,0,0,0
Ubon Ratchathani,2568,นาตาล,0,0,0
Ubon Ratchathani,2568,เหล่าเสือโก้ก,0,0,0
Ubon Ratchathani,2568,สว่างวีระวงศ์,0,0,0
Ubon Ratchathani,2568,น้ำขุ่น,0,0,0
Ubon Ratchathani,2568,รวม,167,260,-55.69
Ubon Ratchathani,2569,เมืองอุบลราชธานี,260,157,39.62
Ubon Ratchathani,2569,ศรีเมืองใหม่,0,0,0
Ubon Ratchathani,2569,โขงเจียม,0,0,0
Ubon Ratchathani,2569,เขื่องใน,0,0,0
Ubon Ratchathani,2569,เขมราฐ,0,0,0
Ubon Ratchathani,2569,เดชอุดม,0,0,0
Ubon Ratchathani,2569,นาจะหลวย,0,0,0
Ubon Ratchathani,2569,น้ำยืน,0,0,0
Ubon Ratchathani,2569,บุณฑริก,0,0,0
Ubon Ratchathani,2569,ตระการพืชผล,0,0,0
Ubon Ratchathani,2569,กุดข้าวปุ้น,0,0,0
Ubon Ratchathani,2569,ม่วงสามสิบ,0,0,0
Ubon Ratchathani,2569,วารินชำราบ,0,0,0
Ubon Ratchathani,2569,พิบูลมังสาหาร,0,0,0
Ubon Ratchathani,2569,ตาลสุม,0,0,0
Ubon Ratchathani,2569,โพธิ์ไทร,0,0,0
Ubon Ratchathani,2569,สำโรง,0,0,0
Ubon Ratchathani,2569,ดอนมดแดง,0,0,0
Ubon Ratchathani,2569,สิรินธร,0,0,0
Ubon Ratchathani,2569,ทุ่งศรีอุดม,0,0,0
Ubon Ratchathani,2569,นาเยีย,0,0,0
Ubon Ratchathani,2569,นาตาล,0,0,0
Ubon Ratchathani,2569,เหล่าเสือโก้ก,0,0,0
Ubon Ratchathani,2569,สว่างวีระวงศ์,0,0,0
Ubon Ratchathani,2569,น้ำขุ่น,0,0,0
Ubon Ratchathani,2569,รวม,260,157,39.62
