Province,Year_BE,ICD_Code,Disease_Group_TH,Disease_Group_EN,Total_Patients,Total_Visits,Civil_Servant_Patients,Civil_Servant_Visits,Social_Security_Patients,Social_Security_Visits,Universal_Coverage_Patients,Universal_Coverage_Visits,Foreigner_Patients,Foreigner_Visits,Other_Scheme_Patients,Other_Scheme_Visits
อุบลราชธานี,2567,F10-F19,ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท,Mental_Behavioral_Disorders_Due_To_Substance_Use,15310,46429,661,1938,1668,3129,12632,39077,40,62,979,2223
อุบลราชธานี,2567,F17,เสพบุหรี่,Tobacco_Substance_Use,3284,9000,152,406,603,891,2455,7292,3,6,166,405
อุบลราชธานี,2567,F20,โรคจิตเภท,Schizophrenia,13985,65670,410,1820,520,2033,12583,59412,68,211,735,2194
อุบลราชธานี,2567,F20-F29,โรคจิตเภท พฤติกรรมแบบโรคจิตเภท และโรคหลงผิด,Schizophrenia_Schizotypal_Delusional_Disorders,18668,84466,698,3032,833,2885,16453,75302,101,281,1095,2966
อุบลราชธานี,2567,F30-F39,ความผิดปกติทางอารมณ์,Mood_Disorders,13371,48420,1554,5828,941,3080,10449,37397,101,234,797,1881
อุบลราชธานี,2567,F31,ไบโพล่า,Bipolar_Disorder,1129,5433,188,933,83,355,801,3928,7,26,94,191
อุบลราชธานี,2567,"F32,F33,F34.1,F38,F39",โรคซึมเศร้า,Depression,12280,43003,1371,4897,864,2743,9671,33473,94,208,706,1682
อุบลราชธานี,2567,F40-F48,โรคประสาท ความผิดปกติที่สัมพันธ์กับความเครียด และโรคโซมาโตฟอร์ม,Neurotic_Stress_Related_Somatoform_Disorders,20207,49758,2480,6771,1367,3054,15367,37256,411,889,948,1788
อุบลราชธานี,2567,F50-F59,กลุ่มอาการทางพฤติกรรมที่พบร่วมกับความผิดปกติทางสรีรวิทยาและปัจจัยทางกายภาพ,Behavioral_Syndromes_Associated_With_Physiological_Disturbances,12592,24058,2407,5117,661,1107,9271,17326,95,148,249,360
อุบลราชธานี,2567,F60-F69,ความผิดปกติทางบุคลิกภาพและพฤติกรรมของผู้ใหญ่,Disorders_Of_Adult_Personality_Behavior,416,1389,30,91,19,68,274,1088,2,2,98,140
อุบลราชธานี,2567,F70-F79,ภาวะปัญญาอ่อน,Mental_Retardation,1593,6757,55,213,64,239,1412,6099,4,7,91,199
อุบลราชธานี,2567,F80-F89,ความผิดปกติของพัฒนาการทางจิต,Disorders_Of_Psychological_Development,3664,15382,366,1653,252,818,3008,12571,16,20,160,320
อุบลราชธานี,2567,F81,ความผิดปกติจำเพาะของพัฒนาการทางทักษะในการเรียนรู้,Learning_Disorders,334,1093,23,108,15,44,278,873,2,4,24,64
อุบลราชธานี,2567,F84,โรคออติสติก,Autism_Spectrum_Disorder,1886,9991,219,1189,98,418,1546,8232,4,5,87,147
อุบลราชธานี,2567,F90,โรคสมาธิสั้น,ADHD,5361,21876,639,2924,218,784,4471,17745,7,11,199,412
อุบลราชธานี,2567,F90-F98,ความผิดปกติทางอารมณ์และพฤติกรรมที่มักเริ่มต้นในวัยเด็กและวัยรุ่น,Behavioral_Emotional_Disorders_Childhood_Adolescence,5830,23082,694,3074,246,863,4840,18651,9,16,225,478
อุบลราชธานี,2567,F99,ความผิดปกติทางจิตที่ไม่ระบุรายละเอียด,Unspecified_Mental_Disorder,36,114,0,0,1,1,33,111,1,1,1,1
อุบลราชธานี,2567,X60-X84,ผู้พยายามฆ่าตัวตาย,Intentional_Self_Harm_Suicide_Attempt,559,760,61,108,56,68,425,561,0,0,20,23
อุบลราชธานี,2568,F00-F03,โรคสมองเสื่อม,Dementia,2133,5837,809,2469,54,132,1161,2916,18,35,109,285
อุบลราชธานี,2568,F00-F09,ความผิดปกติทางจิตและอาการทางจิตที่เกิดจากโรคทางกาย,Organic_Mental_Disorders,4369,12342,1155,3366,178,476,2845,7961,29,66,209,473
อุบลราชธานี,2568,F10,เสพสุรา,Alcohol_Substance_Use,7559,20754,450,1298,823,1559,6122,17180,16,20,340,697
อุบลราชธานี,2568,F10-F19,ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท,Mental_Behavioral_Disorders_Due_To_Substance_Use,17239,57989,681,1945,1404,3881,14930,49942,23,55,843,2166
อุบลราชธานี,2568,F17,เสพบุหรี่,Tobacco_Substance_Use,4406,14974,183,459,478,824,3667,13041,1,2,188,648
อุบลราชธานี,2568,F20,โรคจิตเภท,Schizophrenia,14159,68032,397,1956,640,2311,12680,61483,24,78,739,2204
อุบลราชธานี,2568,F20-F29,โรคจิตเภท พฤติกรรมแบบโรคจิตเภท และโรคหลงผิด,Schizophrenia_Schizotypal_Delusional_Disorders,18808,87414,674,3191,1038,3435,16503,77841,36,113,1023,2834
อุบลราชธานี,2568,F30-F39,ความผิดปกติทางอารมณ์,Mood_Disorders,13327,49489,1542,5915,1079,3403,10366,38486,74,177,649,1508
อุบลราชธานี,2568,F31,ไบโพล่า,Bipolar_Disorder,1138,5588,185,915,95,332,824,4159,8,27,68,155
อุบลราชธานี,2568,"F32,F33,F34.1,F38,F39",โรคซึมเศร้า,Depression,12221,43899,1362,4994,995,3096,9559,34312,66,150,581,1347
อุบลราชธานี,2568,F40-F48,โรคประสาท ความผิดปกติที่สัมพันธ์กับความเครียด และโรคโซมาโตฟอร์ม,Neurotic_Stress_Related_Somatoform_Disorders,20163,52132,2601,7298,1519,3655,15053,38576,361,769,932,1834
อุบลราชธานี,2568,F50-F59,กลุ่มอาการทางพฤติกรรมที่พบร่วมกับความผิดปกติทางสรีรวิทยาและปัจจัยทางกายภาพ,Behavioral_Syndromes_Associated_With_Physiological_Disturbances,13747,26912,2962,6380,827,1430,9752,18671,51,71,259,360
อุบลราชธานี,2568,F60-F69,ความผิดปกติทางบุคลิกภาพและพฤติกรรมของผู้ใหญ่,Disorders_Of_Adult_Personality_Behavior,570,1720,44,143,39,104,333,1282,1,1,165,190
อุบลราชธานี,2568,F70-F79,ภาวะปัญญาอ่อน,Mental_Retardation,1778,7833,60,288,71,338,1582,7018,1,1,80,188
อุบลราชธานี,2568,F80-F89,ความผิดปกติของพัฒนาการทางจิต,Disorders_Of_Psychological_Development,3914,16618,366,1773,302,993,3191,13593,17,20,133,239
อุบลราชธานี,2568,F81,ความผิดปกติจำเพาะของพัฒนาการทางทักษะในการเรียนรู้,Learning_Disorders,394,1227,25,124,14,57,345,1005,2,2,14,39
อุบลราชธานี,2568,F84,โรคออติสติก,Autism_Spectrum_Disorder,2102,11326,225,1317,131,587,1708,9288,5,6,82,128
อุบลราชธานี,2568,F90,โรคสมาธิสั้น,ADHD,5995,27045,698,3817,337,1270,4907,21645,1,1,123,312
อุบลราชธานี,2568,F90-F98,ความผิดปกติทางอารมณ์และพฤติกรรมที่มักเริ่มต้นในวัยเด็กและวัยรุ่น,Behavioral_Emotional_Disorders_Childhood_Adolescence,6495,28429,760,3985,370,1361,5296,22721,6,7,142,355
อุบลราชธานี,2568,F99,ความผิดปกติทางจิตที่ไม่ระบุรายละเอียด,Unspecified_Mental_Disorder,25,120,3,3,1,1,21,116,0,0,0,0
อุบลราชธานี,2568,X60-X84,ผู้พยายามฆ่าตัวตาย,Intentional_Self_Harm_Suicide_Attempt,594,763,64,86,63,77,436,559,2,3,32,38
อุบลราชธานี,2569,F00-F03,โรคสมองเสื่อม,Dementia,1617,3345,661,1486,44,84,865,1702,6,7,53,66
อุบลราชธานี,2569,F00-F09,ความผิดปกติทางจิตและอาการทางจิตที่เกิดจากโรคทางกาย,Organic_Mental_Disorders,3315,7140,928,2023,136,270,2150,4661,16,24,111,162
อุบลราชธานี,2569,F10,เสพสุรา,Alcohol_Substance_Use,5327,11532,331,687,464,843,4419,9684,7,10,178,308
อุบลราชธานี,2569,F10-F19,ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท,Mental_Behavioral_Disorders_Due_To_Substance_Use,12850,35469,521,1121,911,2261,11187,30803,13,29,516,1255
อุบลราชธานี,2569,F17,เสพบุหรี่,Tobacco_Substance_Use,2986,8266,141,260,177,266,2553,7293,1,12,137,435
อุบลราชธานี,2569,F20,โรคจิตเภท,Schizophrenia,12519,41974,359,1136,513,1361,11286,38519,13,26,512,932
อุบลราชธานี,2569,F20-F29,โรคจิตเภท พฤติกรรมแบบโรคจิตเภท และโรคหลงผิด,Schizophrenia_Schizotypal_Delusional_Disorders,16565,53786,610,1881,803,2009,14700,48651,21,34,674,1211
อุบลราชธานี,2569,F30-F39,ความผิดปกติทางอารมณ์,Mood_Disorders,10859,29903,1309,3460,918,2224,8416,23348,26,45,443,826
อุบลราชธานี,2569,F31,ไบโพล่า,Bipolar_Disorder,958,3232,160,533,86,195,678,2393,4,8,58,103
อุบลราชธานี,2569,"F32,F33,F34.1,F38,F39",โรคซึมเศร้า,Depression,9940,26672,1150,2915,838,2037,7769,20965,22,36,386,719
อุบลราชธานี,2569,F40-F48,โรคประสาท ความผิดปกติที่สัมพันธ์กับความเครียด และโรคโซมาโตฟอร์ม,Neurotic_Stress_Related_Somatoform_Disorders,14127,29719,2055,4335,1072,2153,10542,22239,83,134,525,858
อุบลราชธานี,2569,F50-F59,กลุ่มอาการทางพฤติกรรมที่พบร่วมกับความผิดปกติทางสรีรวิทยาและปัจจัยทางกายภาพ,Behavioral_Syndromes_Associated_With_Physiological_Disturbances,11468,18530,2360,3915,641,1009,8321,13322,18,26,185,258
อุบลราชธานี,2569,F60-F69,ความผิดปกติทางบุคลิกภาพและพฤติกรรมของผู้ใหญ่,Disorders_Of_Adult_Personality_Behavior,426,1049,29,91,16,40,268,776,0,0,126,142
อุบลราชธานี,2569,F70-F79,ภาวะปัญญาอ่อน,Mental_Retardation,1424,4622,50,192,55,174,1292,4195,0,0,42,61
อุบลราชธานี,2569,F80-F89,ความผิดปกติของพัฒนาการทางจิต,Disorders_Of_Psychological_Development,3173,9807,325,1172,237,556,2590,7974,6,8,55,97
อุบลราชธานี,2569,F81,ความผิดปกติจำเพาะของพัฒนาการทางทักษะในการเรียนรู้,Learning_Disorders,417,1023,32,110,15,42,367,847,0,0,9,24
อุบลราชธานี,2569,F84,โรคออติสติก,Autism_Spectrum_Disorder,1796,6729,214,882,93,306,1474,5494,2,3,33,44
อุบลราชธานี,2569,F90,โรคสมาธิสั้น,ADHD,5251,17436,665,2812,217,723,4316,13726,3,4,97,171
อุบลราชธานี,2569,F90-F98,ความผิดปกติทางอารมณ์และพฤติกรรมที่มักเริ่มต้นในวัยเด็กและวัยรุ่น,Behavioral_Emotional_Disorders_Childhood_Adolescence,5586,18199,711,2904,237,774,4572,14317,5,7,115,197
อุบลราชธานี,2569,F99,ความผิดปกติทางจิตที่ไม่ระบุรายละเอียด,Unspecified_Mental_Disorder,23,64,0,0,0,0,22,63,0,0,1,1
อุบลราชธานี,2569,X60-X84,ผู้พยายามฆ่าตัวตาย,Intentional_Self_Harm_Suicide_Attempt,255,337,26,40,30,35,186,246,2,2,12,14
