Province,Year_BE,ICD_Code,Disease_Group_TH,Disease_Group_EN,Total_Patients,Total_Visits,Civil_Servant_Patients,Civil_Servant_Visits,Social_Security_Patients,Social_Security_Visits,Universal_Coverage_Patients,Universal_Coverage_Visits,Foreigner_Patients,Foreigner_Visits,Other_Scheme_Patients,Other_Scheme_Visits
อำนาจเจริญ,2566,F90-F98,ความผิดปกติทางอารมณ์และพฤติกรรมที่มักเริ่มต้นในวัยเด็กและวัยรุ่น,Behavioral_Emotional_Disorders_Childhood_Adolescence,695,2225,36,103,65,112,634,2006,0,0,3,4
อำนาจเจริญ,2566,F99,ความผิดปกติทางจิตที่ไม่ระบุรายละเอียด,Unspecified_Mental_Disorder,4,10,0,0,0,0,3,9,0,0,1,1
อำนาจเจริญ,2566,X60-X84,ผู้พยายามฆ่าตัวตาย,Intentional_Self_Harm_Suicide_Attempt,110,124,3,3,29,30,78,90,0,0,1,1
อำนาจเจริญ,2567,F00-F03,โรคสมองเสื่อม,Dementia,367,954,66,193,1,2,300,757,0,0,2,2
อำนาจเจริญ,2567,F00-F09,ความผิดปกติทางจิตและอาการทางจิตที่เกิดจากโรคทางกาย,Organic_Mental_Disorders,673,1584,100,263,10,19,560,1297,0,0,5,5
อำนาจเจริญ,2567,F10,เสพสุรา,Alcohol_Substance_Use,1248,3106,94,220,100,189,1061,2687,4,4,6,6
อำนาจเจริญ,2567,F10-F19,ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท,Mental_Behavioral_Disorders_Due_To_Substance_Use,2846,7806,119,267,217,475,2533,7046,5,9,9,9
อำนาจเจริญ,2567,F17,เสพบุหรี่,Tobacco_Substance_Use,201,324,13,22,7,8,181,294,0,0,0,0
อำนาจเจริญ,2567,F20,โรคจิตเภท,Schizophrenia,3020,14121,89,397,60,160,2891,13519,6,13,18,32
อำนาจเจริญ,2567,F20-F29,โรคจิตเภท พฤติกรรมแบบโรคจิตเภท และโรคหลงผิด,Schizophrenia_Schizotypal_Delusional_Disorders,3941,16757,131,500,123,293,3725,15909,7,16,23,39
อำนาจเจริญ,2567,F30-F39,ความผิดปกติทางอารมณ์,Mood_Disorders,2693,7713,268,807,185,414,2255,6446,6,12,25,34
อำนาจเจริญ,2567,F31,ไบโพล่า,Bipolar_Disorder,190,635,21,80,14,34,158,519,1,1,1,1
อำนาจเจริญ,2567,"F32,F33,F34.1,F38,F39",โรคซึมเศร้า,Depression,2511,7076,248,727,171,380,2104,5925,5,11,24,33
อำนาจเจริญ,2567,F40-F48,โรคประสาท ความผิดปกติที่สัมพันธ์กับความเครียด และโรคโซมาโตฟอร์ม,Neurotic_Stress_Related_Somatoform_Disorders,2311,5527,299,673,156,278,1854,4546,8,12,16,18
อำนาจเจริญ,2567,F50-F59,กลุ่มอาการทางพฤติกรรมที่พบร่วมกับความผิดปกติทางสรีรวิทยาและปัจจัยทางกายภาพ,Behavioral_Syndromes_Associated_With_Physiological_Disturbances,1932,4295,372,851,113,177,1440,3225,4,12,16,30
